lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.0282805,0.00408231,-0.00137261,-0.0584981
0.0282752,0.00408083,-0.00135071,-0.0525764
0.0282695,0.00407921,-0.00132863,-0.0475019
0.0282626,0.00407726,-0.00130631,-0.0450212
0.028254,0.00407485,-0.00128375,-0.0452686
0.0282438,0.00407199,-0.0012609,-0.0451144
0.0282323,0.00406876,-0.00123774,-0.0449893
0.0282198,0.00406525,-0.00121424,-0.0449759
0.0282064,0.00406151,-0.00119036,-0.0449875
0.0281923,0.00405756,-0.00116607,-0.0449
0.0281776,0.00405345,-0.00114133,-0.0447732
0.0281624,0.0040492,-0.00111611,-0.0446319
0.0281469,0.00404486,-0.00109272,-0.044474
0.0281311,0.00404044,-0.00107378,-0.0442439
0.0281152,0.00403601,-0.00105926,-0.0439285
0.0280994,0.00403159,-0.00104915,-0.0435856
0.0280837,0.00402723,-0.00104344,-0.0432605
0.0280684,0.00402297,-0.00104212,-0.0428932
0.0280535,0.00401881,-0.00104519,-0.0424162
0.028039,0.00401479,-0.00105262,-0.0419208
0.0280251,0.00401093,-0.00106441,-0.0414066
0.0280119,0.00400725,-0.00108055,-0.0408697
0.0279994,0.00400377,-0.00110103,-0.0403019
0.0279877,0.00400052,-0.00112582,-0.0397034
0.0279768,0.00399751,-0.00115492,-0.0390791
0.027967,0.00399478,-0.00118826,-0.0384059
0.0279581,0.00399233,-0.00122592,-0.0377356
0.0279504,0.00399018,-0.00126784,-0.037084
0.0279438,0.00398837,-0.00131406,-0.0364394
0.0279385,0.0039869,-0.00136456,-0.0358245
0.0279346,0.00398581,-0.00141929,-0.0351906
0.0279321,0.00398512,-0.00147825,-0.0345698
0.0279312,0.00398488,-0.00154141,-0.0339657
0.027932,0.00398511,-0.00160874,-0.0333844
0.0279347,0.00398584,-0.00167954,-0.0328429
0.0279392,0.0039871,-0.00174784,-0.0323275
0.0279457,0.00398888,-0.00181232,-0.0318417
0.0279539,0.00399117,-0.00187301,-0.0314519
0.027964,0.00399396,-0.00192988,-0.0311395
0.0279758,0.00399723,-0.00198305,-0.0309225
0.0279894,0.00400099,-0.00203244,-0.0307655
0.0280047,0.00400525,-0.00207802,-0.0306828
0.0280218,0.00401001,-0.00211979,-0.0307036
0.0280407,0.00401527,-0.00215774,-0.0308304
0.0280615,0.00402104,-0.00219189,-0.0310893
0.0280841,0.00402734,-0.00222223,-0.0314781
0.0281086,0.00403418,-0.00224873,-0.0319972
0.0281352,0.00404159,-0.00227136,-0.0326704
0.0281637,0.00404955,-0.00229029,-0.0335263
0.0281942,0.00405809,-0.00230555,-0.0345013
0.0282269,0.00406725,-0.00231708,-0.0355862
0.0282612,0.00407688,-0.00232497,-0.0362267
0.0282899,0.00408494,-0.00232919,-0.0686875
0.0283095,0.00409046,-0.00232969,-0.100397
0.0283224,0.00409409,-0.00232643,-0.12664
0.0283309,0.00409649,-0.00231939,-0.14677
0.0283367,0.00409812,-0.0023085,-0.162066
0.028341,0.00409934,-0.00229545,-0.174481
0.0283444,0.00410029,-0.002283,-0.185091
0.0283471,0.00410107,-0.00227127,-0.194557
0.0283496,0.00410175,-0.00226033,-0.203256
0.0283516,0.00410233,-0.00225015,-0.210977
0.0283533,0.0041028,-0.00224075,-0.217706
0.0283546,0.00410317,-0.00223216,-0.223141
0.0283556,0.00410345,-0.00222447,-0.227646
0.0283564,0.00410368,-0.00221777,-0.231501
0.028357,0.00410384,-0.00221207,-0.234495
0.0283573,0.00410394,-0.00220743,-0.236584
0.0283574,0.00410397,-0.0022039,-0.237777
0.0283573,0.00410395,-0.00220154,-0.238129
0.028357,0.00410386,-0.0022004,-0.237681
0.0283565,0.00410372,-0.00220054,-0.236486
0.0283558,0.00410353,-0.00220201,-0.234602
0.028355,0.00410328,-0.00220487,-0.232089
0.028354,0.00410299,-0.00220916,-0.229004
0.0283528,0.00410266,-0.00221493,-0.225418
0.0283514,0.00410229,-0.00222221,-0.221411
0.02835,0.00410187,-0.00223105,-0.217056
0.0283484,0.00410143,-0.00224148,-0.212435
0.0283467,0.00410095,-0.00225343,-0.207642
0.0283449,0.00410045,-0.00226564,-0.202696
0.0283431,0.00409993,-0.00227772,-0.197615
0.0283412,0.00409939,-0.00228968,-0.192456
0.0283392,0.00409883,-0.00230152,-0.187267
0.0283371,0.00409825,-0.00231326,-0.182102
0.0283351,0.00409767,-0.0023249,-0.176994
