lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.00973771,0.000720504,-0.00155995,0.0597169
0.00975935,0.000722359,-0.00153199,0.0591831
0.00978064,0.000724187,-0.00150357,0.058686
0.0098015,0.000725983,-0.00147468,0.0582114
0.0098219,0.000727742,-0.00144531,0.0577464
0.00984179,0.000729461,-0.00141546,0.0572796
0.00986114,0.000731137,-0.00138513,0.056804
0.00987993,0.000732768,-0.00135432,0.0563241
0.00989816,0.000734352,-0.00132301,0.0558427
0.00991583,0.00073589,-0.0012912,0.0553653
0.00993293,0.000737382,-0.0012589,0.0549014
0.00994947,0.000738827,-0.0012261,0.0544663
0.00996545,0.000740226,-0.00119469,0.054065
0.0099809,0.000741581,-0.00116773,0.0537035
0.00999594,0.000742902,-0.00114526,0.053408
0.0100106,0.000744194,-0.00112729,0.0531785
0.0100251,0.000745466,-0.00111383,0.0530299
0.0100393,0.000746722,-0.0011049,0.0529761
0.0100534,0.000747969,-0.00110051,0.0530001
0.0100675,0.000749211,-0.00110066,0.053117
0.0100815,0.000750456,-0.00110539,0.0532784
0.0100957,0.000751712,-0.00111468,0.0534554
0.01011,0.000752987,-0.00112857,0.0536171
0.0101247,0.000754292,-0.00114705,0.05374
0.0101398,0.000755642,-0.00117013,0.0537931
0.0101555,0.000757045,-0.00119784,0.053839
0.0101719,0.000758517,-0.00123019,0.0539145
0.0101895,0.000760088,-0.00126714,0.0540262
0.0102081,0.000761764,-0.00130867,0.0541782
0.010228,0.00076355,-0.00135481,0.0543976
0.0102491,0.000765457,-0.00140554,0.0546652
0.0102716,0.000767495,-0.00146085,0.054958
0.0102957,0.000769676,-0.00152075,0.0552446
0.0103213,0.000772008,-0.00158521,0.0554876
0.0103487,0.000774504,-0.00165378,0.0556649
0.0103778,0.00077717,-0.00172074,0.0557616
0.0104086,0.000779997,-0.00178433,0.0557991
0.0104409,0.000782978,-0.00184454,0.0558134
0.0104753,0.000786153,-0.00190134,0.0558099
0.0105113,0.000789496,-0.00195474,0.0558082
0.0105489,0.000793004,-0.00200472,0.0558134
0.0105882,0.000796679,-0.0020513,0.0557957
0.0106289,0.000800507,-0.00209445,0.0557791
0.010671,0.000804479,-0.00213419,0.0557687
0.0107143,0.000808591,-0.0021705,0.055738
0.0107589,0.000812836,-0.00220339,0.0556742
0.0108045,0.000817204,-0.00223287,0.0555787
0.0108511,0.000821687,-0.00225892,0.0554511
0.0108986,0.000826279,-0.00228156,0.0552953
0.0109469,0.000830972,-0.00230078,0.0551229
0.0109959,0.000835761,-0.0023166,0.0549452
0.0110455,0.000840636,-0.00232901,0.0547755
0.0110957,0.000845589,-0.00233803,0.0546251
0.0111464,0.000850612,-0.00234364,0.0545025
0.0111974,0.000855695,-0.00234587,0.054418
0.0112486,0.00086083,-0.00234472,0.0543832
0.0112999,0.000866002,-0.00234019,0.0544044
0.0113512,0.000871194,-0.00233366,0.0544551
0.0114025,0.000876415,-0.00232809,0.0545572
0.0114536,0.000881648,-0.00232358,0.0546915
0.0115048,0.000886914,-0.00232013,0.054836
0.0115561,0.000892211,-0.00231774,0.0550219
0.0116074,0.000897545,-0.00231642,0.0552531
0.0116589,0.000902921,-0.00231617,0.0555452
0.0117106,0.00090834,-0.00231699,0.0558624
0.0117626,0.000913825,-0.00231887,0.0561955
0.0118149,0.000919369,-0.00232182,0.0566388
0.0118675,0.000924974,-0.00232585,0.057124
0.0119205,0.000930644,-0.00233097,0.0576697
0.0119738,0.000936375,-0.00233718,0.0582716
0.0120274,0.000942175,-0.00234448,0.058901
0.0120815,0.000948056,-0.00235286,0.0595515
0.0121362,0.000954032,-0.00236232,0.06022
0.0121915,0.000960104,-0.00237287,0.0609117
0.0122475,0.000966276,-0.00238451,0.061619
0.012304,0.000972552,-0.00239723,0.062317
0.0123613,0.000978938,-0.00241105,0.0630108
0.0124193,0.000985443,-0.00242594,0.0637022
0.0124782,0.000992074,-0.00244192,0.06438
0.0125379,0.000998838,-0.00245894,0.0650464
0.0125985,0.00100574,-0.00247579,0.0656817
0.0126599,0.00101278,-0.0024919,0.0662903
0.0127223,0.00101997,-0.00250729,0.0668528
0.0127858,0.00102732,-0.00252192,0.0673985
0.0128503,0.00103483,-0.00253581,0.0679074
0.0129159,0.00104252,-0.00254894,0.0683543
0.0129826,0.00105037,-0.00256131,0.0687453
0.0130504,0.0010584,-0.00257291,0.0690739
0.0131192,0.0010666,-0.00258374,0.0693351
0.0131891,0.00107498,-0.00259378,0.0694864
0.0132601,0.00108355,-0.00260304,0.0695673
0.0133322,0.0010923,-0.00261151,0.0695636
0.0134055,0.00110125,-0.00261917,0.0694569
0.01348,0.0011104,-0.00262603,0.0692418
0.0135557,0.00111976,-0.00263206,0.0689164
0.0136328,0.00112935,-0.00263729,0.0685121
0.0137112,0.00113916,-0.0026417,0.0680315
0.0137909,0.00114921,-0.00264531,0.0675122
0.013872,0.0011595,-0.00264812,0.0668453
0.0139546,0.00117003,-0.00265011,0.0660635
0.0140385,0.00118082,-0.00265129,0.0651583
0.014124,0.00119188,-0.00265167,0.0641223
0.014211,0.00120321,-0.00265121,0.0629833
0.0142995,0.00121482,-0.00264987,0.0617204
0.0143894,0.0012267,-0.00264764,0.0603615
0.0144809,0.00123887,-0.00264451,0.0588982
0.0145739,0.00125132,-0.00264049,0.0573287
0.0146684,0.00126407,-0.00263558,0.0556781
0.0147644,0.00127712,-0.00262976,0.0539629
0.014862,0.00129048,-0.00262304,0.0521403
0.0149609,0.00130412,-0.00261541,0.0502069
0.015061,0.00131804,-0.00260686,0.0481471
0.0151621,0.00133218,-0.00259739,0.0459674
0.0152639,0.00134653,-0.00258699,0.0437114
0.0153661,0.00136106,-0.00257566,0.0414082
0.0154687,0.00137573,-0.00256338,0.039063
0.0155713,0.00139053,-0.00255015,0.0367119
0.0156738,0.00140542,-0.00253596,0.034366
0.0157761,0.00142038,-0.00252081,0.0320536
0.0158778,0.00143536,-0.00250468,0.0298008
0.0159787,0.00145035,-0.00248758,0.0276253
0.0160788,0.00146529,-0.0024695,0.0255507
0.0161777,0.00148017,-0.00245044,0.0233841
0.0162752,0.00149495,-0.0024304,0.0215593
0.0163714,0.00150961,-0.00240936,0.0198977
0.016466,0.00152413,-0.00238661,0.018413
0.0165587,0.00153845,-0.00236169,0.0171161
0.0166496,0.00155257,-0.00233458,0.0160197
0.0167383,0.00156643,-0.00230528,0.0151457
0.0168246,0.00158001,-0.00227379,0.0144903
0.0169085,0.00159327,-0.00224011,0.014063
0.0169897,0.00160617,-0.00220425,0.0138789
0.017068,0.00161869,-0.00216622,0.013883
0.0171435,0.00163081,-0.00212603,0.0140472
0.017216,0.00164252,-0.0020837,0.0143606
0.0172856,0.00165379,-0.00203922,0.014882
0.0173518,0.00166457,-0.00199259,0.0155883
0.0174146,0.00167484,-0.00194381,0.0164523
0.017474,0.00168459,-0.00189289,0.0174905
0.0175298,0.00169378,-0.00183985,0.0186578
0.0175819,0.00170239,-0.00178464,0.0201268
0.0176297,0.00171031,-0.00172735,0.0215881
0.0176737,0.00171762,-0.00166798,0.0230969
