lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.0160416,0.00145972,-0.00140751,0.0478923
0.0160729,0.00146441,-0.00137571,0.04742
0.0161025,0.00146886,-0.00134345,0.0469255
0.0161303,0.00147304,-0.00131074,0.0463719
0.0161567,0.001477,-0.00127757,0.0458631
0.0161813,0.00148072,-0.00124395,0.0453102
0.0162043,0.0014842,-0.00120987,0.0447008
0.0162256,0.00148743,-0.00117533,0.0440071
0.0162454,0.00149043,-0.00114034,0.0432407
0.0162638,0.00149321,-0.00110489,0.0424312
0.0162805,0.00149576,-0.00106898,0.0415797
0.0162958,0.00149808,-0.00103262,0.0407187
0.0163095,0.00150017,-0.000997825,0.0398876
0.0163219,0.00150205,-0.000967527,0.0391078
0.0163331,0.00150376,-0.000941758,0.0384053
0.0163433,0.00150533,-0.000920521,0.037778
0.0163528,0.00150677,-0.000903822,0.0372243
0.0163617,0.00150813,-0.000891663,0.0367297
0.0163702,0.00150943,-0.000884049,0.0362821
0.0163786,0.00151071,-0.000880994,0.0358882
0.0163869,0.00151199,-0.000882492,0.0355045
0.0163956,0.00151331,-0.000888545,0.0351384
0.0164047,0.00151471,-0.000899145,0.0345649
0.0164146,0.00151623,-0.000914296,0.0342523
0.0164254,0.0015179,-0.000934005,0.0339255
0.0164374,0.00151973,-0.000958273,0.0336415
0.0164507,0.00152177,-0.000987099,0.0333884
0.0164654,0.00152404,-0.00102048,0.0331671
0.0164818,0.00152657,-0.00105843,0.0329983
0.0165001,0.00152939,-0.00110093,0.0328698
0.0165204,0.00153253,-0.001148,0.0327834
0.016543,0.00153602,-0.00119962,0.0327355
0.016568,0.00153989,-0.00125581,0.0327011
0.0165956,0.00154417,-0.00131656,0.032672
0.016626,0.0015489,-0.00138134,0.0326371
0.0166593,0.00155408,-0.00144436,0.0325728
0.0166952,0.0015597,-0.00150404,0.0324849
0.0167337,0.00156572,-0.00156037,0.0323734
0.0167745,0.00157212,-0.00161335,0.0322293
0.0168174,0.00157886,-0.00166298,0.032067
0.0168621,0.00158593,-0.00170926,0.0319055
0.0169087,0.0015933,-0.00175219,0.0317527
0.0169567,0.00160092,-0.00179175,0.0316134
0.017006,0.00160878,-0.00182795,0.0315098
0.0170564,0.00161684,-0.00186079,0.031415
0.0171078,0.00162508,-0.00189025,0.0312955
0.01716,0.00163347,-0.00191634,0.0311783
0.0172129,0.00164201,-0.00193905,0.0310102
0.0172663,0.00165066,-0.00195837,0.0308238
0.0173202,0.00165941,-0.0019743,0.0306294
0.0173742,0.00166823,-0.00198684,0.0304352
0.0174285,0.00167711,-0.001996,0.0302262
0.0174827,0.00168602,-0.00200176,0.0300077
0.0175366,0.00169491,-0.00200413,0.0298446
0.0175902,0.00170376,-0.00200311,0.0297177
0.0176432,0.00171255,-0.0019987,0.0296171
0.0176953,0.00172123,-0.00199092,0.0295453
0.0177467,0.00172981,-0.00198125,0.0295082
0.0177971,0.00173825,-0.00197256,0.0295038
0.0178466,0.00174657,-0.00196492,0.0295303
0.0178952,0.00175477,-0.00195836,0.0295837
0.0179431,0.00176287,-0.00195286,0.0295458
0.0179903,0.00177086,-0.00194845,0.0296698
0.0180367,0.00177875,-0.00194512,0.0297909
0.0180824,0.00178655,-0.0019429,0.0299267
0.0181275,0.00179426,-0.0019418,0.0300955
0.018172,0.00180189,-0.00194181,0.0303078
0.0182158,0.00180943,-0.00194295,0.0305548
0.0182591,0.00181689,-0.00194522,0.0308145
0.0183018,0.00182427,-0.00194864,0.0310941
0.0183439,0.00183157,-0.00195322,0.0314017
0.0183856,0.0018388,-0.00195895,0.0317287
0.0184267,0.00184596,-0.00196585,0.0320453
0.0184674,0.00185307,-0.00197391,0.0323652
0.0185077,0.00186012,-0.00198314,0.0326807
0.0185477,0.00186714,-0.00199354,0.0329804
0.0185872,0.00187409,-0.00200514,0.0332617
0.0186263,0.00188097,-0.00201794,0.0335118
0.0186654,0.00188787,-0.00203192,0.0337386
0.0187044,0.00189479,-0.002047,0.0339437
0.0187435,0.00190172,-0.00206194,0.0341204
0.0187825,0.00190867,-0.00207625,0.0342828
0.0188216,0.00191563,-0.00208991,0.034311
0.0188605,0.00192258,-0.00210294,0.0343875
0.0188993,0.00192953,-0.00211535,0.0344418
0.018938,0.00193647,-0.00212712,0.0344538
0.0189766,0.00194342,-0.00213825,0.0344185
0.0190151,0.00195036,-0.00214875,0.0343296
0.0190535,0.00195731,-0.0021586,0.0341836
0.019092,0.00196427,-0.0021678,0.0339652
0.0191304,0.00197124,-0.00217635,0.0336795
0.0191688,0.00197824,-0.00218424,0.0333176
0.0192073,0.00198526,-0.00219146,0.0328969
0.0192459,0.00199232,-0.00219801,0.0324046
0.0192848,0.00199944,-0.00220389,0.0317882
0.0193237,0.00200657,-0.00220909,0.0311372
0.0193628,0.00201377,-0.00221358,0.0304218
0.019402,0.00202099,-0.00221735,0.029658
0.0194414,0.00202827,-0.00222041,0.0288532
0.0194811,0.00203563,-0.00222274,0.027954
0.0195211,0.00204306,-0.00222434,0.0269801
0.0195614,0.00205054,-0.00222521,0.0259333
0.0196019,0.0020581,-0.00222532,0.0248109
0.0196428,0.00206575,-0.0022246,0.0236146
0.0196841,0.00207349,-0.00222304,0.0223389
0.0197258,0.00208132,-0.00222064,0.020997
0.0197679,0.00208924,-0.00221738,0.0195965
0.0198104,0.00209725,-0.00221327,0.0181392
0.0198532,0.00210535,-0.00220828,0.0166286
0.0198964,0.00211354,-0.00220241,0.0150812
0.01994,0.00212182,-0.00219567,0.0134982
0.0199839,0.00213018,-0.00218803,0.0118809
0.0200281,0.00213863,-0.0021795,0.0102411
0.0200726,0.00214714,-0.00217006,0.0086011
0.0201173,0.00215573,-0.00215973,0.00696489
0.0201623,0.00216438,-0.00214848,0.00534071
0.0202074,0.00217307,-0.00213632,0.00374241
0.0202525,0.0021818,-0.00212325,0.00218346
0.0202977,0.00219056,-0.00210925,0.00067912
0.0203429,0.00219933,-0.00209433,-0.000853728
0.0203879,0.0022081,-0.00207848,-0.00219044
0.0204327,0.00221685,-0.0020617,-0.00344865
0.0204773,0.00222557,-0.00204398,-0.00458277
0.0205215,0.00223424,-0.00202534,-0.00559416
0.0205652,0.00224284,-0.00200572,-0.00644466
0.0206086,0.00225138,-0.00198438,-0.00707287
0.0206513,0.00225983,-0.00196091,-0.0075067
0.0206932,0.00226811,-0.00193527,-0.00775116
0.020734,0.00227622,-0.0019075,-0.00782901
0.0207737,0.00228412,-0.00187758,-0.00775662
0.0208122,0.00229179,-0.00184553,-0.00752638
0.0208492,0.00229918,-0.00181134,-0.00715733
0.0208849,0.00230631,-0.00177504,-0.00673319
0.020919,0.00231316,-0.00173662,-0.00614828
0.0209516,0.0023197,-0.00169607,-0.00540717
0.0209824,0.00232589,-0.00165338,-0.00453843
0.0210114,0.00233174,-0.00160857,-0.00356295
0.0210386,0.00233722,-0.00156163,-0.00245511
0.0210637,0.00234229,-0.00151257,-0.00123018
0.0210868,0.00234695,-0.00146141,8.19E-05
0.0211077,0.00235119,-0.00140815,0.00147707
0.0211264,0.00235498,-0.0013528,0.00294375
0.0211428,0.00235831,-0.00129537,0.00445967
0.0211569,0.00236117,-0.00123587,0.00601862
0.0211685,0.00236354,-0.00117431,0.00758872
0.0211777,0.00236541,-0.00111071,0.00915662
0.0211853,0.00236695,-0.00104508,0.0107977
0.0211892,0.00236774,-0.000978789,0.0123807
0.0211905,0.00236801,-0.000916786,0.0138629
0.0211896,0.00236782,-0.000859539,0.0152975
0.0211863,0.00236715,-0.000807046,0.0166527
0.0211815,0.00236618,-0.000759312,0.017901
0.0211752,0.00236489,-0.000716366,0.0191501
0.0211675,0.00236334,-0.000678202,0.0203631
0.0211584,0.00236148,-0.000644849,0.0214799
0.0211482,0.0023594,-0.000616302,0.0225135
0.0211368,0.0023571,-0.000592585,0.0234474
0.0211247,0.00235465,-0.000573694,0.0242868
0.0211119,0.00235205,-0.000559647,0.0250325
0.0210987,0.00234936,-0.00055045,0.0256689
0.0210851,0.00234661,-0.000546116,0.0261714
0.0210714,0.00234384,-0.000546656,0.0265538
0.0210578,0.0023411,-0.000552089,0.0268154
0.0210444,0.0023384,-0.000562397,0.026961
0.0210318,0.00233584,-0.000577613,0.0269842
0.0210196,0.00233339,-0.00059773,0.0268838
0.0210083,0.00233111,-0.000622723,0.0266851
0.0209981,0.00232906,-0.000652616,0.026371
0.0209893,0.00232727,-0.000687417,0.0259458
0.0209819,0.00232578,-0.000727098,0.025406
0.0209761,0.00232462,-0.000768769,0.0247569
0.020972,0.00232379,-0.000810518,0.0240155
0.0209695,0.0023233,-0.000852342,0.0231756
0.0209687,0.00232314,-0.000894239,0.022242
0.0209696,0.00232332,-0.000936208,0.021215
0.0209722,0.00232384,-0.000978243,0.0201047
0.0209766,0.00232471,-0.00102034,0.0189265
0.0209826,0.00232593,-0.00106249,0.0176968
0.0209904,0.0023275,-0.00110469,0.0164201
0.021,0.00232943,-0.00114694,0.0151047
0.0210117,0.00233179,-0.00118926,0.0137704
0.0210245,0.00233438,-0.00123159,0.0124356
0.0210392,0.00233734,-0.00127392,0.0111002
0.0210552,0.00234057,-0.0013162,0.00976384
0.0210728,0.00234413,-0.00135844,0.008451
0.021092,0.00234801,-0.00140064,0.00717355
0.0211127,0.0023522,-0.00144279,0.00593975
0.0211347,0.00235668,-0.00148487,0.00475918
0.0211581,0.00236143,-0.00152688,0.00362983
0.0211829,0.00236645,-0.00156878,0.00255833
0.0212088,0.00237174,-0.00161057,0.00156345
0.021236,0.00237727,-0.00165224,0.000661087
0.0212642,0.00238303,-0.00169374,-0.000156126
0.0212934,0.00238901,-0.00173497,-0.000882675
0.0213239,0.00239524,-0.00177591,-0.001502
0.0213553,0.00240168,-0.00181654,-0.00201502
0.0213875,0.00240831,-0.00185684,-0.00241905
0.0214206,0.00241512,-0.0018968,-0.00271377
0.0214545,0.0024221,-0.00193641,-0.00290623
0.0214891,0.00242925,-0.00197564,-0.00299635
0.0215245,0.00243656,-0.00201447,-0.00296352
0.0215603,0.00244398,-0.00205288,-0.00279263
0.0215967,0.00245154,-0.00209088,-0.00253737
0.0216335,0.0024592,-0.00212843,-0.00215733
0.0216703,0.00246686,-0.00216547,-0.00162028
0.0217077,0.00247467,-0.00220208,-0.00101439
0.0217454,0.00248256,-0.00223824,-0.000314733
0.0217834,0.00249052,-0.00227393,0.000477254
0.0218226,0.00249877,-0.00230921,0.001308
0.0218618,0.002507,-0.00234405,0.00223
0.0219009,0.00251526,-0.00237843,0.00326308
0.0219402,0.00252356,-0.00241234,0.00437367
0.0219796,0.00253189,-0.00244577,0.00554155
0.0220191,0.00254027,-0.00247873,0.0067789
0.0220586,0.00254867,-0.00251122,0.00808459
0.0220981,0.00255707,-0.00254132,0.00945621
0.0221373,0.00256544,-0.00256725,0.0108822
0.0221762,0.00257376,-0.00258903,0.0123678
0.0222147,0.002582,-0.00260666,0.013914
0.0222526,0.00259014,-0.00262014,0.0154925
0.0222898,0.00259814,-0.00262949,0.0171157
0.0223261,0.00260596,-0.00263471,0.0187754
0.0223613,0.00261355,-0.00263581,0.0204389
0.0223948,0.0026208,-0.00263278,0.0221255
0.0224281,0.002628,-0.00262567,0.0238034
0.0224603,0.002635,-0.00261451,0.0254746
0.0224914,0.00264174,-0.00259932,0.0270962
0.0225207,0.00264812,-0.00258008,0.0286353
0.0225483,0.00265412,-0.00255683,0.0301723
0.0225753,0.00266002,-0.00252958,0.03168
0.0226008,0.0026656,-0.00249836,0.0331711
0.0226248,0.00267083,-0.00246316,0.0345717
0.0226469,0.00267567,-0.002424,0.0359122
0.0226673,0.00268016,-0.00238091,0.0371953
0.0226861,0.00268426,-0.00233389,0.0384093
0.0227029,0.00268797,-0.00228295,0.0395324
0.022718,0.00269127,-0.00222812,0.0405897
0.0227312,0.00269418,-0.00217,0.0415685
0.0227425,0.00269666,-0.00211272,0.0424379
0.0227519,0.00269875,-0.00205712,0.043177
0.0227595,0.00270042,-0.00200319,0.043783
0.0227655,0.00270173,-0.00195096,0.0443022
0.0227698,0.00270268,-0.00190044,0.0447111
0.0227726,0.00270329,-0.00185164,0.0449985
0.0227738,0.00270357,-0.00180457,0.0451588
0.0227737,0.00270355,-0.00175923,0.0451969
0.0227723,0.00270324,-0.00171565,0.0451428
0.0227697,0.00270267,-0.00167383,0.0449825
0.0227661,0.00270186,-0.00163377,0.0447203
0.0227618,0.00270092,-0.0015955,0.0443355
0.0227564,0.00269973,-0.001559,0.0438763
0.0227497,0.00269825,-0.00152423,0.0433409
0.022742,0.00269656,-0.00149116,0.0427181
0.0227336,0.0026947,-0.0014598,0.04201
0.0227249,0.00269279,-0.00143015,0.0412715
0.0227157,0.00269077,-0.0014022,0.0404844
0.0227059,0.00268862,-0.00137594,0.0396565
0.022696,0.00268644,-0.00135135,0.0387886
0.0226856,0.00268416,-0.00132842,0.0378975
0.0226748,0.0026818,-0.00130713,0.0369912
0.0226638,0.00267939,-0.0012884,0.0360577
0.0226532,0.00267706,-0.00127325,0.035054
0.0226429,0.0026748,-0.00126164,0.0340891
0.0226328,0.0026726,-0.00125354,0.0331079
0.0226235,0.00267055,-0.00124894,0.0321009
0.0226148,0.00266866,-0.00124779,0.0310407
0.0226068,0.0026669,-0.00125008,0.0299896
0.0225997,0.00266536,-0.00125581,0.0289848
0.0225936,0.00266403,-0.00126494,0.0279899
0.0225887,0.00266294,-0.00127745,0.0269979
0.0225849,0.00266211,-0.00129332,0.0260087
0.0225824,0.00266156,-0.00131255,0.0250659
0.0225816,0.0026614,-0.00133508,0.0241909
0.022582,0.00266148,-0.00136094,0.0233428
0.0225835,0.00266181,-0.00139014,0.0225272
0.0225866,0.00266249,-0.00142267,0.0218172
0.0225912,0.0026635,-0.00145851,0.021202
0.0225975,0.00266486,-0.00149767,0.0207301
0.0226052,0.00266655,-0.00154014,0.020398
0.0226144,0.00266857,-0.00158594,0.0202259
0.0226251,0.00267091,-0.00163508,0.0202201
0.0226373,0.00267358,-0.00168756,0.0203809
0.0226509,0.00267656,-0.00174279,0.0207036
0.022666,0.00267986,-0.00179684,0.0211863
0.0226822,0.00268342,-0.00184902,0.0217897
0.0226995,0.00268721,-0.00189933,0.022472
0.0227176,0.0026912,-0.00194782,0.0232421
0.0227369,0.00269543,-0.0019945,0.0240855
