lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.021454,0.00242199,-0.000898974,0.0155533
0.0214533,0.00242186,-0.00087066,0.0154207
0.0214518,0.00242154,-0.000841936,0.0152847
0.0214493,0.00242103,-0.00081279,0.015146
0.0214459,0.00242033,-0.000783211,0.0150073
0.0214416,0.00241944,-0.000753189,0.0148706
0.0214364,0.00241837,-0.000722714,0.0147375
0.0214303,0.0024171,-0.000691781,0.0146085
0.0214232,0.00241564,-0.000660381,0.0144849
0.0214152,0.00241399,-0.000628513,0.0143652
0.0214062,0.00241215,-0.000596169,0.0142501
0.0213963,0.00241011,-0.000563352,0.0141382
0.0213854,0.00240787,-0.000532361,0.0140275
0.0213737,0.00240547,-0.000505864,0.0139195
0.0213613,0.00240293,-0.000483865,0.0138154
0.0213484,0.00240027,-0.000466369,0.0137121
0.021335,0.00239752,-0.000453377,0.0136103
0.0213213,0.00239471,-0.000444895,0.0135053
0.0213074,0.00239187,-0.000440924,0.0133966
0.0212935,0.00238903,-0.00044147,0.0132906
0.0212798,0.00238621,-0.000446536,0.0131811
0.0212664,0.00238348,-0.000456127,0.0130734
0.0212533,0.0023808,-0.000470246,0.0129754
0.0212406,0.00237822,-0.000488889,0.0128567
0.0212292,0.00237588,-0.000512064,0.012747
0.0212181,0.00237363,-0.000539757,0.0126274
0.0212079,0.00237154,-0.000571966,0.0124995
0.0211982,0.00236958,-0.00060869,0.0123623
0.0211901,0.00236792,-0.000649924,0.0121646
0.0211836,0.00236659,-0.000695668,0.0119936
0.0211787,0.0023656,-0.000745917,0.0117751
0.0211755,0.00236496,-0.000800663,0.0114584
0.0211743,0.0023647,-0.0008599,0.0110609
0.0211751,0.00236487,-0.000923621,0.0106009
0.0211783,0.00236552,-0.000991103,0.0101138
0.0211836,0.00236661,-0.00105645,0.00963051
0.0211907,0.00236805,-0.00111837,0.00914273
0.0211999,0.00236993,-0.00117685,0.0086964
0.0212111,0.0023722,-0.00123189,0.00832167
0.021224,0.00237483,-0.00128348,0.00800257
0.0212385,0.0023778,-0.00133161,0.00774208
0.0212546,0.00238108,-0.0013763,0.00751311
0.0212721,0.00238466,-0.00141753,0.00730413
0.021291,0.00238851,-0.00145532,0.00709429
0.0213111,0.00239262,-0.00148966,0.00687119
0.0213323,0.00239697,-0.00152057,0.00663013
0.0213546,0.00240154,-0.00154804,0.00637375
0.0213777,0.00240629,-0.00157208,0.00610994
0.0214016,0.00241121,-0.0015927,0.00585366
0.0214262,0.00241626,-0.0016099,0.00562583
0.0214512,0.00242141,-0.0016237,0.00544663
0.0214765,0.00242664,-0.0016341,0.00533359
0.021502,0.00243191,-0.00164112,0.00527871
0.0215276,0.0024372,-0.00164477,0.00529578
0.0215531,0.00244248,-0.00164506,0.0053724
0.0215784,0.00244774,-0.00164201,0.0054959
0.0216035,0.00245295,-0.00163563,0.00565334
0.0216282,0.00245809,-0.00162765,0.00582609
0.0216525,0.00246317,-0.00162077,0.00600662
0.0216766,0.00246817,-0.00161502,0.00619667
0.0217002,0.00247311,-0.00161044,0.00640229
0.0217235,0.00247797,-0.00160702,0.00665246
0.0217463,0.00248275,-0.00160478,0.00693986
0.0217687,0.00248745,-0.00160374,0.00726965
0.0217907,0.00249206,-0.00160391,0.00764408
0.0218122,0.00249657,-0.00160529,0.00808888
0.0218332,0.00250098,-0.0016079,0.00857067
0.0218537,0.0025053,-0.00161174,0.00910207
0.0218738,0.00250953,-0.00161682,0.00963992
0.0218934,0.00251368,-0.00162315,0.0101741
0.0219127,0.00251775,-0.00163073,0.0106834
0.0219317,0.00252175,-0.00163958,0.0111628
0.0219503,0.00252569,-0.00164968,0.01162
0.0219687,0.00252958,-0.00166105,0.0120634
0.0219867,0.0025334,-0.0016737,0.0124955
0.0220044,0.00253716,-0.00168763,0.0129081
0.0220219,0.00254086,-0.00170283,0.0133098
0.0220391,0.00254452,-0.00171928,0.0137252
0.0220562,0.00254816,-0.00173697,0.014157
0.022073,0.00255174,-0.00175582,0.0146029
0.0220894,0.00255522,-0.00177459,0.0150295
0.0221058,0.00255873,-0.0017928,0.0154412
0.0221222,0.00256222,-0.00181043,0.0158255
0.0221386,0.00256573,-0.00182744,0.0161724
0.022155,0.00256922,-0.00184386,0.0164702
0.0221713,0.00257271,-0.00185969,0.0167176
0.0221876,0.00257619,-0.00187493,0.0169134
0.0222038,0.00257968,-0.00188957,0.0170299
0.0222201,0.00258317,-0.00190361,0.0170693
0.0222364,0.00258667,-0.00191705,0.0170487
0.0222527,0.00259017,-0.00192987,0.0169999
0.0222691,0.00259368,-0.00194207,0.0169088
0.0222854,0.0025972,-0.00195364,0.0167803
0.0223018,0.00260074,-0.00196458,0.01661
0.0223184,0.00260429,-0.00197488,0.01639
0.022335,0.00260789,-0.00198453,0.0161129
0.0223519,0.00261152,-0.00199353,0.0157696
