lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.0116068,0.000897484,-0.00156425,0.0573625
0.011636,0.000900526,-0.00153565,0.0566862
0.0116647,0.000903529,-0.00150657,0.055932
0.0116928,0.000906475,-0.00147703,0.0551411
0.0117203,0.00090936,-0.001447,0.0543568
0.011747,0.000912182,-0.00141649,0.0535966
0.0117731,0.000914941,-0.00138549,0.0528956
0.0117985,0.000917623,-0.001354,0.0522497
0.011823,0.000920231,-0.00132201,0.0516538
0.0118467,0.000922755,-0.00128951,0.0511094
0.0118695,0.000925189,-0.00125651,0.0506066
0.0118914,0.000927529,-0.00122301,0.0501224
0.0119124,0.000929773,-0.00119094,0.0496452
0.0119324,0.000931927,-0.0011633,0.0491692
0.0119518,0.000934008,-0.00114014,0.0486996
0.0119706,0.000936031,-0.00112146,0.0482547
0.0119889,0.000938009,-0.00110727,0.0478673
0.0120069,0.000939954,-0.00109757,0.0475874
0.0120248,0.000941889,-0.00109238,0.0473787
0.0120427,0.00094383,-0.00109171,0.04723
0.0120606,0.000945781,-0.00109558,0.0471799
0.0120788,0.000947758,-0.00110398,0.0471926
0.0120973,0.000949778,-0.00111694,0.0472528
0.0121163,0.000951857,-0.00113446,0.047345
0.012136,0.000954013,-0.00115656,0.0474532
0.0121566,0.000956265,-0.00118324,0.0475668
0.0121782,0.000958633,-0.0012145,0.0476792
0.0122009,0.000961139,-0.00125036,0.0477915
0.0122251,0.000963805,-0.00129081,0.0479047
0.0122509,0.000966652,-0.00133585,0.0480292
0.0122784,0.000969702,-0.00138548,0.0481679
0.0123079,0.000972978,-0.00143971,0.0483251
0.0123395,0.0009765,-0.00149851,0.048505
0.0123733,0.000980277,-0.00156189,0.0487104
0.0124095,0.00098434,-0.00162936,0.0489255
0.0124483,0.000988702,-0.00169514,0.0491235
0.0124898,0.000993391,-0.00175755,0.0492881
0.0125338,0.000998382,-0.00181658,0.0494187
0.0125801,0.00100365,-0.00187221,0.0495691
0.0126286,0.00100919,-0.00192445,0.0497095
0.0126793,0.00101501,-0.00197327,0.0498206
0.0127321,0.00102109,-0.00201867,0.0498917
0.0127865,0.0010274,-0.00206064,0.0500016
0.012843,0.00103398,-0.00209916,0.0500743
0.0129007,0.00104073,-0.0021342,0.0501638
0.0129604,0.00104776,-0.00216581,0.0502245
0.0130217,0.001055,-0.00219398,0.0502696
0.0130844,0.00106245,-0.0022187,0.0503183
0.0131482,0.00107008,-0.00223996,0.0503579
0.0132135,0.00107793,-0.00225782,0.0502996
0.0132798,0.00108594,-0.00227223,0.0503551
0.0133469,0.00109409,-0.00228319,0.0504285
0.0134148,0.00110238,-0.00229072,0.0504807
0.0134832,0.00111079,-0.00229481,0.0505396
0.013552,0.0011193,-0.00229548,0.0506203
0.013621,0.00112787,-0.00229272,0.0507437
0.0136901,0.00113651,-0.00228655,0.0508735
0.0137591,0.00114519,-0.00227839,0.0510256
0.013828,0.0011539,-0.00227117,0.0512121
0.0138969,0.00116266,-0.00226497,0.0513976
0.0139658,0.00117146,-0.0022598,0.0516817
0.0140346,0.00118031,-0.00225565,0.0519892
0.0141035,0.00118921,-0.00225254,0.0523252
0.0141725,0.00119819,-0.00225047,0.0526772
0.0142417,0.00120723,-0.00224945,0.0531027
0.014311,0.00121634,-0.00224946,0.0535724
0.0143805,0.00122552,-0.00225052,0.054093
0.0144502,0.00123478,-0.00225263,0.0546374
0.0145202,0.00124412,-0.0022558,0.0552343
0.0145904,0.00125354,-0.00226002,0.0558597
0.0146609,0.00126306,-0.00226531,0.0564987
0.0147318,0.00127268,-0.00227165,0.0571356
0.014803,0.00128239,-0.00227906,0.05777
0.0148745,0.0012922,-0.00228754,0.0583714
0.0149464,0.00130211,-0.00229709,0.0589561
0.0150186,0.00131212,-0.00230771,0.0595262
0.0150911,0.00132223,-0.0023194,0.0599287
0.015164,0.00133244,-0.00233217,0.0603972
0.0152372,0.00134276,-0.00234602,0.0608056
0.0153107,0.00135316,-0.00236088,0.0611294
0.0153843,0.00136365,-0.00237555,0.0613736
0.0154582,0.00137423,-0.00238949,0.0615496
0.0155323,0.00138489,-0.0024027,0.061658
0.0156066,0.00139565,-0.00241517,0.0616951
0.0156812,0.00140649,-0.0024269,0.0616663
0.0157561,0.00141745,-0.00243788,0.0615972
0.0158309,0.00142844,-0.00244811,0.0613965
0.0159058,0.00143951,-0.00245758,0.0611387
0.0159807,0.00145064,-0.00246629,0.0607859
0.0160556,0.00146181,-0.00247424,0.0603623
0.0161303,0.00147304,-0.00248141,0.0598281
0.016205,0.0014843,-0.00248781,0.0591675
0.0162795,0.00149559,-0.00249342,0.0584409
0.0163539,0.00150694,-0.00249825,0.0576282
0.0164283,0.00151833,-0.0025023,0.0567308
0.0165026,0.00152977,-0.00250557,0.0557824
0.0165769,0.00154127,-0.00250805,0.0547452
0.016651,0.0015528,-0.00250975,0.0535942
0.0167252,0.00156439,-0.00251066,0.0523562
0.0167992,0.00157601,-0.00251078,0.0510215
0.0168732,0.00158768,-0.00251012,0.0495986
0.0169472,0.00159941,-0.00250867,0.048095
0.0170214,0.00161124,-0.00250641,0.0464231
0.0170957,0.00162313,-0.00250328,0.0447029
0.0171699,0.00163507,-0.00249929,0.0429076
0.0172441,0.00164707,-0.00249445,0.0410369
